"varible_name","variable_desc","variable_values","etiquetas_de_valores","frecuencia"
y0302,Asalariados principal - Comisiones,rango: 1.200-5.000.000,Válidos,"1,437"
y0303,Asalariados principal - Propinas,rango: 833-800.000,Válidos,"775"
y0304,"Asalariados principal - Asignación por vivienda, transporte, educación",rango: 417-2.000.000,Válidos,"1,656"
y0305,Asalariados principal - Viáticos no sujetos a rendición,rango: 1.667-1.000.000,Válidos,"826"
y0306,Asalariados principal - Otros ingresos monetarios,rango: 1.750-6.000.000,Válidos,"281"
y0401,Asalariados principal - Bonificaciones o aguinaldos,rango: 417-8.333.333,Válidos,"20,128"
y0402,Asalariados principal - Gratificaciones,rango: 563-1.666.667,Válidos,"4,896"
y0403,Asalariados principal - Décimo tercer mes o meses adicionales,rango: 2.083-2.666.667,Válidos,"683"
y0404,Asalariados principal - Otros similares monetarios,rango: 417-2.500.000,Válidos,"283"
y0501,Asalariados principal - Alimentos y bebidas,rango: 3.000-500.000,Válidos,"5,034"
y0502,Asalariados principal - Vales de alimentación,rango: 4.000-1.680.000,Válidos,"1,775"
y0503,Asalariados principal - Vivienda o alojamiento,rango: 20.000-1.620.000,Válidos,"1,044"
y0504,Asalariados principal - Vehículo para uso privado,rango: 20.000-13.000.000,Válidos,"317"
y0505,Asalariados principal - Servicio de transporte,rango: 2.000-2.560.000,Válidos,"2,494"
y0506,Asalariados principal - Estacionamiento gratuito,rango: 5.000-1.000.000,Válidos,"1,385"
y0507,Asalariados principal - Teléfono,rango: 2.000-1.300.000,Válidos,"1,273"
y0508,Asalariados principal - Vestimenta,rango: 1.000-1.000.000,Válidos,"3,959"
y0509,Asalariados principal - Servicios de guardería o sala cuna,rango: 35.000-500.000,Válidos,"154"
y0510,Asalariados principal - Leña u otro combustible doméstico,rango: 5.000-900.000,Válidos,"413"
y0511,Asalariados principal - Bienes o servicios del empleador,rango: 2.000-3.000.000,Válidos,"534"
y0512,Asalariados principal - Otros similares en especies,rango: 2.500-2.300.000,Válidos,"198"
yosa,Ingresos de la ocupación secundaria - Asalariados,rango: 20.000-7.000.000,Válidos,"991"
y0701,Independientes principal - Efectivo,rango: 1.500-40.000.000,Válidos,"21,385"
y0801,Independientes principal - Especies,rango: 1.200-4.400.000,Válidos,"4,708"
y0901,Independientes principal - Ventas anuales,rango: 667-50.000.000,Válidos,"1,879"
yosi,Ingresos de la ocupación secundaria - Independientes,rango: 5.000-11.000.000,Válidos,"1,747"
y1101,"Ingresos del trabajo de FNR, desocupados e inactivos",rango: 4.500-6.000.000,Válidos,"3,270"
yre1,Arriendos de propiedades urbanas,rango: 10.000-20.000.000,Válidos,"4,092"
yama,Arriendo de maquinarias y animales,rango: 30.000-50.000.000,Válidos,"220"
ymes,Pensión de alimentos,rango: 3.000-5.000.000,Válidos,"7,507"
yfa1,Dinero de familiares ajenos al hogar - Del país,rango: 1.000-7.000.000,Válidos,"3,615"
yfa2,Dinero de familiares ajenos al hogar - Del extranjero,rango: 10.000-9.000.000,Válidos,"327"
ytro,Remuneración por trabajos ocasionales,rango: 4.000-6.200.000,Válidos,"1,529"
yta1,Trabajos de antes - Asalariados,rango: 8.000-7.230.000,Válidos,"726"
