region,comuna,region_nombre,comuna_nombre,attribute_type,attribute_value,attribute_units,attribute_category
1,1101,Región de Tarapacá,Iquique,median_household_income,1200000.0,CLP,high
1,1101,Región de Tarapacá,Iquique,poverty_rate,26.77,percent,very high
1,1101,Región de Tarapacá,Iquique,public_transport_share,31.84,percent,medium
1,1101,Región de Tarapacá,Iquique,unemployment_rate,9.44,percent,high
1,1107,Región de Tarapacá,Alto Hospicio,median_household_income,1200000.0,CLP,high
1,1107,Región de Tarapacá,Alto Hospicio,poverty_rate,26.77,percent,very high
1,1107,Región de Tarapacá,Alto Hospicio,public_transport_share,31.84,percent,medium
1,1107,Región de Tarapacá,Alto Hospicio,unemployment_rate,9.44,percent,high
1,1401,Región de Tarapacá,Pozo Almonte,median_household_income,1200000.0,CLP,high
1,1401,Región de Tarapacá,Pozo Almonte,poverty_rate,26.77,percent,very high
1,1401,Región de Tarapacá,Pozo Almonte,public_transport_share,31.84,percent,medium
1,1401,Región de Tarapacá,Pozo Almonte,unemployment_rate,9.44,percent,high
1,1402,Región de Tarapacá,Camiña,median_household_income,1200000.0,CLP,high
1,1402,Región de Tarapacá,Camiña,poverty_rate,26.77,percent,very high
1,1402,Región de Tarapacá,Camiña,public_transport_share,31.84,percent,medium
1,1402,Región de Tarapacá,Camiña,unemployment_rate,9.44,percent,high
1,1403,Región de Tarapacá,Colchane,median_household_income,1200000.0,CLP,high
1,1403,Región de Tarapacá,Colchane,poverty_rate,26.77,percent,very high
1,1403,Región de Tarapacá,Colchane,public_transport_share,31.84,percent,medium
1,1403,Región de Tarapacá,Colchane,unemployment_rate,9.44,percent,high
1,1404,Región de Tarapacá,Huara,median_household_income,1200000.0,CLP,high
1,1404,Región de Tarapacá,Huara,poverty_rate,26.77,percent,very high
1,1404,Región de Tarapacá,Huara,public_transport_share,31.84,percent,medium
1,1404,Región de Tarapacá,Huara,unemployment_rate,9.44,percent,high
1,1405,Región de Tarapacá,Pica,median_household_income,1200000.0,CLP,high
1,1405,Región de Tarapacá,Pica,poverty_rate,26.77,percent,very high
1,1405,Región de Tarapacá,Pica,public_transport_share,31.84,percent,medium
1,1405,Región de Tarapacá,Pica,unemployment_rate,9.44,percent,high
2,2101,Región de Antofagasta,Antofagasta,median_household_income,1303632.0,CLP,high
2,2101,Región de Antofagasta,Antofagasta,poverty_rate,19.53,percent,low
2,2101,Región de Antofagasta,Antofagasta,public_transport_share,34.19,percent,high
2,2101,Región de Antofagasta,Antofagasta,unemployment_rate,9.26,percent,medium
2,2102,Región de Antofagasta,Mejillones,median_household_income,1303632.0,CLP,high
2,2102,Región de Antofagasta,Mejillones,poverty_rate,19.53,percent,low
2,2102,Región de Antofagasta,Mejillones,public_transport_share,34.19,percent,high
2,2102,Región de Antofagasta,Mejillones,unemployment_rate,9.26,percent,medium
2,2103,Región de Antofagasta,Sierra Gorda,median_household_income,1303632.0,CLP,high
2,2103,Región de Antofagasta,Sierra Gorda,poverty_rate,19.53,percent,low
2,2103,Región de Antofagasta,Sierra Gorda,public_transport_share,34.19,percent,high
2,2103,Región de Antofagasta,Sierra Gorda,unemployment_rate,9.26,percent,medium
2,2104,Región de Antofagasta,Taltal,median_household_income,1303632.0,CLP,high
2,2104,Región de Antofagasta,Taltal,poverty_rate,19.53,percent,low
2,2104,Región de Antofagasta,Taltal,public_transport_share,34.19,percent,high
2,2104,Región de Antofagasta,Taltal,unemployment_rate,9.26,percent,medium
2,2201,Región de Antofagasta,Calama,median_household_income,1303632.0,CLP,high
2,2201,Región de Antofagasta,Calama,poverty_rate,19.53,percent,low
2,2201,Región de Antofagasta,Calama,public_transport_share,34.19,percent,high
2,2201,Región de Antofagasta,Calama,unemployment_rate,9.26,percent,medium
2,2202,Región de Antofagasta,Ollagüe,median_household_income,1303632.0,CLP,high
2,2202,Región de Antofagasta,Ollagüe,poverty_rate,19.53,percent,low
2,2202,Región de Antofagasta,Ollagüe,public_transport_share,34.19,percent,high
2,2202,Región de Antofagasta,Ollagüe,unemployment_rate,9.26,percent,medium
2,2203,Región de Antofagasta,San Pedro de Atacama,median_household_income,1303632.0,CLP,high
2,2203,Región de Antofagasta,San Pedro de Atacama,poverty_rate,19.53,percent,low
2,2203,Región de Antofagasta,San Pedro de Atacama,public_transport_share,34.19,percent,high
2,2203,Región de Antofagasta,San Pedro de Atacama,unemployment_rate,9.26,percent,medium
