varible_name,variable_desc,variable_values,etiquetas_de_valores,frecuencia
o1,"o1. La semana pasada, ¿trabajó al menos 1 hora, sin considerar quehaceres hogar?",1,1. Sí,"80,320"
o1,"o1. La semana pasada, ¿trabajó al menos 1 hora, sin considerar quehaceres hogar?",2,2. No,"86,073"
o2,"o2. Aunque no trabajó, ¿realizó alguna actividad por al menos 1 hora?",1,1. Sí,"1,966"
o2,"o2. Aunque no trabajó, ¿realizó alguna actividad por al menos 1 hora?",2,2. No,"84,107"
o3,"o3. Aunque no trabajó, ¿tenía algún empleo del que estuvo ausente temporalmente?",1,1. Sí,"3,424"
o3,"o3. Aunque no trabajó, ¿tenía algún empleo del que estuvo ausente temporalmente?",2,2. No,"80,683"
o4,o4. ¿Ha trabajado alguna vez?,1,1. Sí,"52,268"
o4,o4. ¿Ha trabajado alguna vez?,2,2. No,"28,415"
o5,"o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?",1,"1. Sí, ahora mismo","16,151"
o5,"o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?",2,"2. Sí, en otra época del año","5,256"
o5,"o5. Si le ofrecieran un trabajo, ¿estaría disponible para comenzar a trabajar?",3,3. No,"59,276"
o6,o6. ¿Buscó trabajo remunerado en las últimas 4 semanas?,1,1. Sí,"8,469"
o6,o6. ¿Buscó trabajo remunerado en las últimas 4 semanas?,2,2. No,"72,214"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,1,1. Consiguió trabajo que empezará pronto o iniciará pronto una actividad por cuenta propia,472
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,2,2. Está esperando resultado de gestiones ya emprendidas,942
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,3,3. Tiene que cuidar a niños o niñas,"6,205"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,4,4. Tiene que cuidar a algún adulto mayor,"1,915"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,5,5. Tiene que cuidar a otro familiar,"1,195"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,6,6. Está enfermo(a) o tiene una discapacidad,"8,898"
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,7,"7. Piensa que nadie le dará trabajo porque no cuenta con la capacitación requerida, por su edad, etc.",600
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,8,"8. Las reglas, horarios y distancias de los trabajos no le acomodan",173
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,9,9. Ofrecen sueldos muy bajos,226
o7,o7. ¿Cuál es la razón por la que no buscó trabajo en las últimas 4 semanas?,10,10. Quehaceres del hogar,"7,535"
