comuna_name,locode,main_biome,all_biomes
Algarrobo,CL ALG,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Alhué,CL ALH,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Alto Biobío,,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Alto Hospicio,CL AHP,Deserts & Xeric Shrublands,['Deserts & Xeric Shrublands']
Alto del Carmen,CL ADC,Montane Grasslands & Shrublands,"['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Ancud,CL ZUD,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Andacollo,CL AND,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Angol,CL ANG,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Antofagasta,CL ANF,Deserts & Xeric Shrublands,"['Deserts & Xeric Shrublands', 'Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Antuco,CL ANT,Temperate Broadleaf & Mixed Forests,"['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Arauco,CL ARA,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Arica,CL ARI,Deserts & Xeric Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Aysén,CL PSN,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests', 'Temperate Grasslands, Savannas & Shrublands']"
Buin,CL BUI,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Temperate Broadleaf & Mixed Forests']"
Bulnes,CL BUL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Cabildo,,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub', 'Montane Grasslands & Shrublands']"
Cabo de Hornos,,Temperate Broadleaf & Mixed Forests,"['N/A', 'Temperate Broadleaf & Mixed Forests']"
Cabrero,CL CAB,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Calama,CL CJC,Montane Grasslands & Shrublands,"['Deserts & Xeric Shrublands', 'Montane Grasslands & Shrublands']"
Calbuco,CL CBC,Temperate Broadleaf & Mixed Forests,['Temperate Broadleaf & Mixed Forests']
Caldera,CL CLD,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Calera,CL LCL,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
Calera de Tango,CL CDT,"Mediterranean Forests, Woodlands & Scrub","['Mediterranean Forests, Woodlands & Scrub']"
